nodes	16S_rRNA_Count
root	12.8094612121783
'internal_node_8'	12.288318619592
'internal_node_11'	12.5006946628015
'internal_node_29'	13.397354666386
'internal_node_44'	12.7234863351721
'internal_node_45'	12.2946053970484
'internal_node_48'	12.742357057533
'internal_node_50'	12.6675592479569
'internal_node_52'	12.0299029976682
'internal_node_53'	11
'internal_node_106'	13.1853244297229
'internal_node_107'	13.7185025995603
'internal_node_131'	11.2502606691734
'internal_node_133'	7.80408694141402
'internal_node_134'	8.65192585389675
'internal_node_136'	11.2836449117515
'internal_node_142'	7.67001704241932
'internal_node_161'	7.56195868260092
'internal_node_162'	7.88578069409087
'internal_node_163'	8.35485680934336
'internal_node_164'	9.76109695439475
'internal_node_165'	10
'internal_node_168'	9.50115651592375
'internal_node_169'	9.53043300840009
'internal_node_186'	9.46349949583173
'internal_node_194'	7
'internal_node_202'	7.72383020900768
'internal_node_203'	7.09414147380804
'internal_node_204'	7.12559050949455
'internal_node_205'	5.34091102335127
'internal_node_206'	4.88491042301491
'internal_node_208'	5.53359238810514
'internal_node_209'	5.6232598797635
'internal_node_210'	5.14296477223833
'internal_node_212'	3.38229606162825
'internal_node_213'	4
'internal_node_215'	4
'internal_node_228'	6.30946967273737
'internal_node_231'	5.90715651772455
'internal_node_234'	5.82981404477584
'internal_node_282'	6.57372182811055
'internal_node_284'	4
'internal_node_285'	4
'internal_node_290'	4
'internal_node_294'	4
'internal_node_306'	9
'internal_node_307'	9
'internal_node_308'	9
'internal_node_313'	5.85810886722026
'internal_node_314'	5.65292920729384
'internal_node_315'	5.12035926347076
'internal_node_316'	5.24430967341265
'internal_node_317'	5.4881978181722
'internal_node_331'	6
'internal_node_340'	5
'internal_node_349'	5
'internal_node_357'	5
'internal_node_359'	5
'internal_node_371'	6.15300224332336
'internal_node_372'	5
'internal_node_373'	5
'internal_node_374'	5
'internal_node_382'	5
'internal_node_384'	5
'internal_node_392'	5.26550827458439
'internal_node_393'	5.00318931158115
'internal_node_394'	5.44876894794204
'internal_node_395'	5.64647509005393
'internal_node_404'	5
'internal_node_408'	5.98025037768929
'internal_node_436'	5.95939349401677
'internal_node_437'	5.93273652668673
'internal_node_440'	6
'internal_node_446'	5.28344556972355
'internal_node_447'	4.54843928199321
'internal_node_448'	5.06641878326624
'internal_node_453'	5.1572973773143
'internal_node_454'	5.3438498031486
'internal_node_460'	4
'internal_node_461'	4
'internal_node_462'	4
'internal_node_463'	4
'internal_node_464'	4
'internal_node_465'	4
'internal_node_476'	5.94626684453027
'internal_node_477'	5.92146632866502
'internal_node_478'	5
'internal_node_481'	7
'internal_node_483'	7
'internal_node_526'	5.99694973266945
'internal_node_528'	5.9921214322977
'internal_node_529'	5.98681665747878
'internal_node_530'	5.96548548751064
'internal_node_531'	5.90963851097939
'internal_node_532'	5.76340682149769
'internal_node_533'	5.38016488236731
'internal_node_534'	6
'internal_node_535'	6
'internal_node_536'	6
'internal_node_537'	6
'internal_node_538'	6
'internal_node_557'	4
'internal_node_559'	4
'internal_node_571'	4
'internal_node_575'	4
'internal_node_576'	4
'internal_node_577'	4
'internal_node_578'	4
'internal_node_579'	4
'internal_node_580'	4
'internal_node_600'	4
'internal_node_605'	4
'internal_node_606'	4
'internal_node_607'	4
'internal_node_610'	4
'internal_node_611'	4
'internal_node_618'	4
'internal_node_622'	4
'internal_node_651'	4
'internal_node_693'	4
'internal_node_732'	6
'internal_node_734'	6
'internal_node_738'	6
'internal_node_832'	3.70799376140566
'internal_node_834'	2
'internal_node_898'	5.99638685761167
'internal_node_899'	6
'internal_node_902'	5.99259566343128
'internal_node_903'	5.98954988106795
'internal_node_904'	6
'internal_node_911'	5.97700926206186
'internal_node_912'	5.9504940605895
'internal_node_924'	5
'internal_node_958'	8.35207639571232
'internal_node_959'	8.61904546672834
'internal_node_960'	8.37054549447162
'internal_node_961'	8.01627527329301
'internal_node_962'	12.5677345317582
'internal_node_963'	11.0660432093761
'internal_node_989'	10.5086326564047
'internal_node_993'	13.0074667002922
'internal_node_997'	4.42536924064668
'internal_node_998'	5.08623945668562
'internal_node_999'	4.51712540144755
'internal_node_1000'	4.30723420663883
'internal_node_1001'	3.19022838938531
'internal_node_1002'	3.04300449460609
'internal_node_1003'	3.04761281416476
'internal_node_1004'	3.76685947369575
'internal_node_1005'	3.40416609483711
'internal_node_1006'	5.06314196766559
'internal_node_1055'	1.73298566616922
'internal_node_1056'	1.47299333328066
'internal_node_1057'	2
'internal_node_1061'	1.91241165877992
'internal_node_1062'	2.03050769839615
'internal_node_1063'	2.33831610473799
'internal_node_1064'	2
'internal_node_1065'	2
'internal_node_1066'	2
'internal_node_1072'	2
'internal_node_1082'	2
'internal_node_1087'	2.81624330808542
'internal_node_1089'	2
'internal_node_1115'	4
'internal_node_1132'	1.57018320134783
'internal_node_1133'	2
'internal_node_1138'	1.64899343727486
'internal_node_1140'	1.39850470323289
'internal_node_1141'	1.5446130494987
'internal_node_1142'	2
'internal_node_1144'	2
'internal_node_1145'	2
'internal_node_1150'	2
'internal_node_1151'	2
'internal_node_1162'	2
'internal_node_1165'	1
'internal_node_1166'	1
'internal_node_1167'	1
'internal_node_1170'	1
'internal_node_1171'	1
'internal_node_1172'	1
'internal_node_1174'	1
'internal_node_1180'	1
'internal_node_1183'	1
'internal_node_1190'	2
'internal_node_1194'	4.38549892903617
'internal_node_1195'	4
'internal_node_1196'	4
'internal_node_1201'	2.76663297415949
'internal_node_1202'	3.18180210029041
'internal_node_1203'	3.67226683596116
'internal_node_1204'	3.40745014896941
'internal_node_1205'	3.7895715695378
'internal_node_1206'	5.98259918417481
'internal_node_1211'	1.52947666864043
'internal_node_1214'	2.50316789919234
'internal_node_1220'	2.72610384546025
'internal_node_1221'	3.40133404714538
'internal_node_1222'	3.14336424534618
'internal_node_1223'	2.90295529499195
'internal_node_1224'	2.54078032176729
'internal_node_1225'	3
'internal_node_1226'	3
'internal_node_1227'	3
'internal_node_1230'	3
'internal_node_1231'	3
'internal_node_1232'	3
'internal_node_1240'	2
'internal_node_1243'	3.11742674207154
'internal_node_1244'	3.45779456375869
'internal_node_1245'	3.60567402331974
'internal_node_1246'	3.29919882532001
'internal_node_1255'	4
'internal_node_1256'	4
'internal_node_1257'	4
'internal_node_1260'	4
'internal_node_1267'	4
'internal_node_1273'	3.96375483176803
'internal_node_1276'	2.00027584049269
'internal_node_1277'	2.16672424774031
'internal_node_1278'	2.44707346173631
'internal_node_1279'	1.39204583745113
'internal_node_1280'	1.66782045628297
'internal_node_1282'	2.28152766796821
'internal_node_1283'	2.49605644102883
'internal_node_1288'	2.07069666254228
'internal_node_1306'	1
'internal_node_1318'	3.07717371312841
'internal_node_1319'	3.08547819632671
'internal_node_1320'	3.0455869400942
'internal_node_1321'	3.43811986266898
'internal_node_1322'	2.99374427161079
'internal_node_1323'	3.10639767798307
'internal_node_1324'	2.8885084466549
'internal_node_1325'	3.11841871778326
'internal_node_1326'	3.87114066218393
'internal_node_1327'	4.86061260225672
'internal_node_1328'	4.22200203847408
'internal_node_1329'	4.39064582923708
'internal_node_1337'	2.21198750092244
'internal_node_1338'	2
'internal_node_1343'	2.50834678532622
'internal_node_1346'	3
'internal_node_1352'	2.64871021138203
'internal_node_1353'	2.19628414319654
'internal_node_1354'	1.98664156698179
'internal_node_1355'	2.71297091597071
'internal_node_1356'	2.51559760333717
'internal_node_1357'	2
'internal_node_1363'	2.48915563050159
'internal_node_1364'	3
