#OTU_IDs	16S_rRNA_Count
4479129	4.0
469478	4.0
469479	4.0
470925	5.0
261722	9.0
4372921	3.0
469949	2.0
330295	1.0
726547	10.0
4484838	3.0
4436393	3.0
4484833	1.0
4484526	5.0
4484527	5.0
4484836	9.0
4484837	9.0
4484834	9.0
4484523	3.0
4485108	5.0
261921	13.0
378060	4.0
2108713	4.0
2092399	1.0
469778	7.0
2081098	2.0
262033	13.0
470899	7.0
2357633	1.0
262038	2.0
782852	8.0
4484932	5.0
3454274	4.0
196404	9.0
235414	8.0
660880	1.0
155255	1.0
4378636	4.0
2053803	1.0
4244762	1.0
4405653	3.0
3153296	2.0
250283	2.0
4481323	4.0
218141	7.0
263029	9.0
260457	1.0
129193	6.0
392116	3.0
261458	7.0
245826	5.0
128908	2.0
128907	7.0
289250	3.0
262630	9.0
878299	1.0
4358870	4.0
2918986	3.0
3826315	14.0
128470	6.0
253887	4.0
4485013	7.0
4485012	7.0
4485011	7.0
4485010	7.0
469898	4.0
4485016	7.0
4485015	7.0
4485014	7.0
212195	4.0
4485019	8.0
469897	4.0
105626	7.0
4484931	2.0
469893	3.0
4484686	4.0
4371454	3.0
4484529	5.0
261218	12.0
469480	4.0
469737	6.0
247861	9.0
study_48	2.0
study_49	4.0
study_46	3.0
study_47	4.0
study_44	4.0
study_45	7.0
study_42	4.0
study_43	2.0
study_40	2.0
4484789	3.0
609407	6.0
4398454	4.0
549099	5.0
3476159	2.0
4073340	8.0
4484521	13.0
152746	2.0
454151	4.0
4485129	6.0
4485128	3.0
4485127	3.0
4485125	1.0
4485124	5.0
458803	4.0
402870	6.0
4485121	5.0
4485120	5.0
2223575	3.0
391131	2.0
170933	3.0
4347248	4.0
204398	9.0
265649	1.0
2143602	7.0
558460	12.0
139026	1.0
484401	4.0
484406	2.0
470663	6.0
470662	5.0
4485417	6.0
108713	1.0
4485416	6.0
198302	8.0
321100	9.0
49947	1.0
3313348	4.0
129053	4.0
4477120	2.0
3398605	1.0
2058825	1.0
4485239	4.0
567540	11.0
469871	4.0
4485233	3.0
4013696	5.0
4485231	2.0
471427	7.0
4485237	4.0
4485236	4.0
4485235	4.0
4485234	4.0
193916	3.0
211138	3.0
484315	4.0
4485159	1.0
4329682	7.0
4412501	4.0
83477	1.0
238096	9.0
765906	1.0
4464508	4.0
138868	1.0
570173	12.0
4429306	3.0
326977	5.0
2398623	6.0
160679	1.0
4485346	4.0
4485345	3.0
4485344	3.0
4485343	3.0
4485348	1.0
470243	6.0
470534	5.0
470241	5.0
2500552	2.0
4412345	2.0
4340733	11.0
471333	15.0
156385	5.0
268527	6.0
471337	2.0
238272	5.0
361012	2.0
471114	5.0
2456573	1.0
243787	1.0
4485648	13.0
802685	13.0
4485642	7.0
4485643	7.0
360010	8.0
4485641	7.0
4485646	13.0
4485647	13.0
4485644	7.0
4485645	11.0
4484748	13.0
4484749	13.0
313166	5.0
129236	6.0
159719	7.0
4484740	12.0
4484741	12.0
4484742	12.0
4484743	12.0
4484744	12.0
4484745	13.0
517757	2.0
137958	2.0
471206	4.0
471202	5.0
4274368	1.0
471209	3.0
4477878	1.0
1921980	2.0
470523	6.0
259549	7.0
207860	5.0
259608	2.0
2875429	9.0
137516	2.0
159436	1.0
4485733	4.0
4485730	4.0
4485731	4.0
4484605	3.0
4420453	4.0
4484607	12.0
260250	7.0
4485529	1.0
167565	5.0
97840	1.0
469646	4.0
327510	4.0
267652	4.0
258496	2.0
4350983	9.0
470398	2.0
212362	3.0
259942	9.0
103712	7.0
110636	3.0
223200	8.0
359026	7.0
244326	3.0
3485581	4.0
312701	7.0
816264	5.0
1964627	3.0
263990	4.0
4484519	13.0
527353	6.0
361069	7.0
4484511	11.0
4484510	11.0
4484513	11.0
4484512	11.0
4484515	1.0
4485671	5.0
4484517	3.0
155628	2.0
835310	7.0
266674	7.0
817028	1.0
261842	13.0
128860	2.0
128862	7.0
777218	4.0
4465770	2.0
4485678	5.0
4448866	6.0
4396056	2.0
608903	4.0
81504	12.0
4484995	7.0
4032177	2.0
4484996	2.0
4484991	4.0
165618	1.0
4484993	7.0
4484992	5.0
153264	2.0
4484999	9.0
4484998	9.0
4485082	2.0
128593	11.0
4420839	9.0
4484598	6.0
247676	4.0
4400185	3.0
292898	4.0
227799	1.0
4485579	5.0
4356131	2.0
145286	3.0
2607833	2.0
4484736	13.0
141204	3.0
141205	6.0
2428671	2.0
545959	12.0
415094	5.0
2048892	2.0
755255	1.0
4375651	1.0
128465	6.0
246477	3.0
364921	7.0
4485000	9.0
4485001	9.0
4485002	9.0
348633	3.0
4485004	2.0
4485005	2.0
4485570	5.0
4485076	6.0
537626	13.0
4338114	2.0
347789	4.0
4485572	5.0
297358	7.0
365543	7.0
4485573	5.0
153125	2.0
1744589	3.0
251168	8.0
261205	9.0
4408082	1.0
4343390	3.0
study_51	2.0
2769758	7.0
study_53	4.0
study_52	3.0
study_55	2.0
study_54	4.0
study_57	2.0
study_56	6.0
study_59	4.0
4463166	9.0
270056	8.0
140424	7.0
154282	4.0
128604	4.0
281799	3.0
249990	7.0
4366194	2.0
254667	5.0
4443926	2.0
4485138	6.0
4485139	6.0
4485134	6.0
4485135	6.0
4485136	6.0
560530	13.0
260082	13.0
4485132	6.0
4485133	6.0
138503	1.0
236730	2.0
163757	3.0
4485199	6.0
247099	9.0
3208510	3.0
4395616	7.0
128730	7.0
470650	5.0
249867	7.0
