taxon_oid	16S_rRNA_Count
2032363	1
3784989	1
2026882	1
4416519	1
2058825	1
4387918	1
243787	1
4484708	1
2631853	1
4359816	1
3171334	1
4416518	1
108256	3
267312	1
225030	1
4338265	2
1577647	3
169692	2
3030226	1
4418680	3
4397090	3
186470	1
252944	1
1889934	1
226044	1
2808134	2
229771	2
1885221	2
4400661	2
142642	2
2086773	2
3906081	2
1894655	2
233066	3
156789	3
253592	2
205587	3
252545	3
255315	3
285342	3
237861	4
3195326	2
212362	3
216145	1
4032177	2
2940299	3
4367067	2
526964	1
187016	2
146450	3
139494	3
4378647	3
150477	4
4475393	3
152457	4
2591255	2
145370	2
3080437	2
135883	7
4463343	3
238720	1
104684	1
3146165	1
2289218	1
210224	1
178974	1
112417	1
529416	1
137113	1
4410174	1
4471291	1
133501	1
933076	1
4420237	1
3251608	1
4408082	1
2504699	1
1802115	1
878299	1
3427182	1
4274368	1
531271	1
4335697	1
137114	1
4485287	1
4371156	1
111673	1
359894	1
2667143	1
181142	1
4484650	1
112073	1
4367774	1
3630583	1
4418037	1
868041	1
238741	2
3078923	5
2283711	4
4433531	5
4383187	5
2451488	5
2680223	5
4162294	5
3591580	5
2752477	5
240847	2
3781816	2
4469345	6
4318834	2
233395	2
4426745	2
346429	2
4325521	1
252888	1
199635	3
2472963	3
174245	3
1093452	6
362631	6
4480115	6
4446811	6
205487	5
4024528	6
1832008	5
4344351	4
128668	7
853882	2
3233360	6
213398	6
269869	6
343072	3
471384	6
3338135	5
197035	10
222801	9
4348277	6
4448519	6
4484570	2
129191	4
287314	3
244434	3
2764126	3
2103949	6
350050	12
772282	1
172489	2
1690562	10
242503	8
2439887	3
4413127	5
4393521	3
3129281	2
3313921	4
2436699	4
4183921	2
471420	2
148517	2
303756	2
250283	2
4351645	1
3808853	1
3048193	1
156880	1
363839	8
128637	2
3586095	4
245826	5
4008646	4
3935866	6
176827	6
4456362	5
236419	5
698296	2
4408777	3
1634660	1
2783236	4
2540794	3
3377067	9
2175894	6
4436356	10
242701	10
471249	11
128769	11
128593	11
4368307	11
4333409	11
128502	11
4453050	7
3840972	10
471280	14
4263526	12
128531	12
129115	13
3826315	14
2920184	13
3805786	13
242550	13
128514	7
129050	8
471256	7
128625	7
4368567	11
81504	12
251227	7
2769758	7
2875429	9
3272844	10
4204932	8
129027	10
191302	14
128897	14
4406668	14
3472383	5
1578654	2
4008231	6
4417624	6
129225	6
4410509	5
2066374	6
128952	5
356687	7
189350	2
3582255	2
398854	2
128497	2
129029	2
3942685	2
471418	6
157716	2
4484996	2
2500552	2
326977	5
471186	2
4328648	4
4448230	4
4480468	4
773978	4
4286813	3
1680183	3
2609286	4
325855	4
327510	4
4422068	4
3454274	4
2722754	4
4296034	3
4399217	1
4396792	3
4485324	1
3227824	1
281799	3
4485377	3
4485376	3
4485378	3
4190059	3
167322	2
64683	1
817858	1
817028	1
2357633	1
311337	1
108295	1
279975	1
349837	1
349112	1
3208510	3
4357341	1
2053803	1
2885638	1
4388598	1
234467	2
231176	2
471333	15
2819473	2
290517	3
129063	3
244991	3
1744589	3
128423	3
141718	3
2935009	3
229012	3
250503	3
58033	3
3059028	1
47707	1
79454	1
182084	1
3791646	1
4407493	1
4404992	1
64248	1
3720432	1
4440880	1
4402257	6
161380	6
188447	6
4096185	6
267551	6
141034	6
163928	6
3486930	5
129121	4
202618	4
211938	4
188012	5
293763	5
238272	5
281438	6
213656	4
140005	4
206206	4
4345952	4
4484728	3
3672635	6
4406729	7
1962306	6
201088	4
156644	6
4448866	6
471221	3
1611605	3
4477819	3
1803423	3
2834267	3
4329133	3
224794	3
4348874	2
246477	3
242988	4
191674	3
246717	3
128665	3
247934	3
194543	3
242938	3
711042	3
4436531	3
128634	3
3678898	3
829874	3
4361046	3
4374740	2
342865	1
363476	2
91372	1
138503	1
3030171	1
4256926	1
4325014	2
259608	2
333765	1
431766	3
2838848	1
4409882	3
2867020	3
2801645	1
4055164	1
146862	2
316248	2
345429	2
129014	2
471188	3
4395015	1
1911677	2
3608204	1
4451511	1
1680485	1
257992	1
4402844	1
233692	1
4350433	1
4412501	4
142596	4
4411321	3
128790	2
3177679	2
2472702	2
270365	2
4454849	2
4165717	5
4046531	4
350896	3
