candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
1093452	1539		126133	96.20	1443
922872	1544		818108	92.10	1404
908287	1550		4406763	89.10	1506
853882	1541		126133	95.20	1445
846121	1546		158725	90.20	1512
846048	1545		509522	88.90	1405
836702	1554		661785	95.90	1500
836673	1544		818108	90.80	1404
835310	1544		818108	91.50	1404
829865	1523		4437524	90.10	1428
824722	1535		79153	85.30	1523
817563	1542		4472725	91.50	1478
816264	1545		158725	92.70	1511
810933	1548		818108	90.50	1408
804646	1545		158725	89.50	1512
804634	1526		3302038	95.40	1445
804624	1419		2214214	85.60	1416
804621	1542		33696	90.70	1481
804606	1441		202319	57.30	1438
804587	1412		4406763	85.80	1412
802685	1554		4367474	93.30	1427
800498	1552		4406763	90.80	1504
800190	1444		200173	65.00	1444
790585	1548		72076	84.80	1408
782852	1544		818108	92.10	1404
779362	1537		364760	91.70	1458
777218	1535		749805	92.00	1440
773978	1542		639310	89.90	1384
772282	1519		2594571	91.60	1445
770692	1320		4363681	93.60	1301
770530	1550		4406763	90.70	1502
768417	1366		4304452	60.40	1363
766559	1555		4367474	93.10	1428
765949	1546		158725	89.90	1512
763899	1544		72076	85.10	1408
762855	1489		220160	91.10	1449
761865	1548		72076	84.80	1408
756549	1528		317765	90.50	1484
753069	1543		4455875	91.60	1468
745507	1554		4367474	93.30	1427
736550	1555		4367474	93.20	1428
733659	1550		4406763	89.10	1506
729486	1530		317765	90.00	1486
726547	1552		4406763	91.00	1504
717479	1566		112239	88.00	1377
715818	1507		4354577	95.10	1412
714621	1489		220160	91.30	1449
711230	1519		15850	90.70	1462
711042	1517		250302	92.60	1358
709004	1527		15791	92.50	1469
704203	1540		200173	91.70	1531
700496	1554		4367474	93.50	1427
694975	1520		15850	90.40	1464
686262	1555		4367474	93.20	1428
684824	1550		4406763	89.10	1506
684249	1489		220160	91.30	1449
683920	1542		571320	93.00	1408
680191	1489		220160	91.30	1449
677921	1492		1112186	86.10	1484
675087	1544		571320	93.40	1408
666832	1545		4307887	88.30	1401
666070	1546		571320	89.10	1410
660880	1541		849723	88.20	1382
660639	1548		72076	84.80	1408
659157	1580		346007	88.30	1434
658919	1489		220160	91.30	1449
654465	1509		2012005	87.00	1370
654294	1543		4455875	91.60	1468
651792	1537		364760	91.70	1458
651131	1558		4457067	94.00	1403
643642	1543		4455875	91.60	1468
636220	1489		220160	91.30	1449
633355	1510		4367474	93.30	1427
611106	1562		3270001	89.70	1411
611053	1545		158725	90.50	1511
611034	1546		4455875	91.00	1471
610992	1547		4406763	89.00	1503
610987	1546		4406763	89.10	1502
610920	1550		4406763	89.10	1506
610895	1550		4406763	89.10	1506
610881	1479		274948	87.90	1438
610809	1544		661785	90.40	1489
610698	1516		2517611	91.90	1447
610455	1523		130408	89.70	1451
610180	1534		851822	90.40	1431
610172	1534		851822	91.50	1429
610043	1533		134265	95.20	1382
610011	1531		14283	87.90	1378
609964	1531		14283	87.90	1378
609925	1581		4373635	91.50	1449
609781	1544		4307887	90.80	1400
609671	1523		4323733	90.70	1391
609637	1542		33696	90.70	1481
609606	1527		529501	90.30	1380
609533	1515		1927234	90.70	1413
609407	1567		545371	88.20	1463
609386	1374		306391	45.20	1374
609300	1570		545371	87.60	1473
609294	1568		545371	87.60	1473
609288	1570		545371	87.40	1473
609101	1542		818108	92.40	1402
608903	1415		259604	86.00	1323
608891	1525		932989	96.60	1348
607581	1544		818108	90.50	1404
607461	1446		4336809	91.10	1341
607339	1429		2116283	75.70	1416
607066	1559		4390920	91.00	1403
607054	1532		4363681	92.40	1401
606983	1530		4363681	92.90	1401
606927	1507		4354577	94.90	1412
606359	1556		4403574	91.50	1412
606204	1539		126133	96.20	1443
606150	1429		126133	96.70	1428
606025	1533		201979	92.90	1491
605028	1524		4363681	92.60	1399
593785	1550		661785	98.20	1500
592611	1567		518033	93.20	1447
591515	1505		287907	88.80	1372
591146	1490		348433	90.50	1447
589213	1548		661785	98.00	1498
588044	1550		4406763	89.10	1506
585208	1544		661785	97.40	1491
582902	1550		4406763	89.10	1506
581469	1545		661785	98.20	1499
580234	1551		661785	98.10	1501
577477	1550		661785	98.20	1500
577465	1552		661785	98.10	1500
577439	1543		661785	97.40	1493
576665	1519		4319168	91.10	1379
575008	1551		4367474	93.20	1427
574063	1503		142489	98.90	1355
573725	1551		4367474	93.10	1427
573322	1547		4406763	90.60	1502
572288	1498		4354577	95.10	1412
572258	1539		818108	91.30	1404
572169	1483		220160	91.30	1449
570173	1551		4367474	93.30	1427
569411	1539		200173	91.10	1531
568578	1551		4367474	93.20	1427
567540	1550		661785	98.20	1500
567420	1503		142489	99.00	1355
566040	1553		4367474	92.60	1429
565532	1483		220160	91.30	1449
562710	1549		4406763	91.00	1504
562633	1550		4367474	92.60	1426
562256	1534		749805	92.00	1440
560530	1551		4367474	93.20	1427
559467	1539		818108	90.80	1404
559163	1551		4367474	93.20	1427
559108	1485		220160	90.40	1445
558460	1551		4367474	93.30	1427
557427	1547		4406763	90.70	1502
557343	1554		4367474	93.10	1430
556496	1544		4307887	88.30	1401
555618	1483		220160	91.30	1449
554247	1546		72076	84.90	1408
551323	1505		287907	88.90	1372
551147	1549		661785	98.20	1500
551003	1552		4367474	93.10	1428
549099	1539		200173	91.80	1531
548747	1483		220160	91.20	1449
545959	1550		4367474	93.20	1426
545932	1501		4354577	95.10	1412
544702	1551		4367474	93.20	1427
544485	1551		4367474	93.30	1427
541279	1552		4367474	93.20	1428
541025	1300		107637	89.30	1297
540914	1501		4354577	94.80	1412
540483	1521		15850	94.20	1463
538515	1448		4354577	94.90	1410
537626	1551		4367474	93.10	1427
537374	1551		4367474	93.30	1427
537277	1551		4367474	93.30	1427
534027	1549		4406763	91.00	1504
533402	1549		4406763	90.90	1504
532556	1523		4390140	90.20	1497
532521	1419		2214214	85.50	1416
532519	1523		1031733	94.10	1343
532512	1523		1031733	94.20	1343
531786	1547		93199	91.10	1370
531155	1525		15791	92.50	1469
529046	1540		509522	88.80	1405
527353	1540		509522	88.90	1405
526890	1525		15791	92.50	1469
525752	1547		93199	91.20	1370
524980	1542		818108	90.70	1404
523171	1539		200173	91.90	1531
522169	1540		661785	91.80	1490
521709	1549		67842	84.80	1365
519687	1542		818108	90.70	1404
517757	1546		72076	84.90	1408
516354	1373		4438565	89.50	1366
516347	1509		2012005	87.10	1370
514177	1509		3593364	86.90	1351
484463	1507		4304095	93.10	1351
484462	1507		4304095	93.00	1351
484443	1505		2750805	87.00	1383
484439	1523		539253	87.10	1494
484437	1548		2707164	88.40	1548
484436	1532		126133	87.80	1436
484430	1513		4319168	96.50	1377
484406	1504		724147	89.00	1420
484401	1533		851822	95.50	1433
484394	1521		297491	87.60	1388
484391	1572		1117319	95.40	1451
484376	1549		4406763	89.20	1505
484369	1549		4406763	89.20	1505
484365	1479		274948	87.90	1438
484357	1528		350484	96.30	1364
484338	1523		2783638	98.70	1435
484320	1542		33696	89.60	1481
484315	1522		269248	92.20	1387
484296	1512		276120	87.00	1433
484294	1440		216888	88.40	1438
471515	1549		1121968	87.80	1538
471511	1547		516809	91.40	1405
471509	1536		364760	91.70	1458
471505	1550		661785	97.80	1500
471495	1554		720604	93.30	1521
471493	1542		818108	91.00	1404
471486	1541		368586	90.20	1470
471471	1566		50206	98.70	1426
471468	1539		2440221	91.40	1504
471460	1540		4443068	88.70	1393
471453	1489		220160	92.20	1449
471450	1541		140674	91.00	1463
471447	1555		248725	88.90	1441
471441	1542		818108	90.70	1404
471434	1539		818108	91.50	1404
471427	1542		818108	91.80	1404
471420	1549		150587	90.30	1518
471418	1543		571320	91.60	1409
471412	1538		571320	92.90	1407
471401	1485		200681	92.20	1354
471398	1532		749805	91.40	1440
471394	1551		2115593	94.40	1514
471384	1542		708925	92.40	1391
471378	1527		770082	90.50	1467
471374	1564		247727	89.40	1488
471369	1550		4406763	88.90	1506
471364	1532		770082	95.40	1472
471360	1560		4391715	89.50	1413
471350	1546		4313979	97.10	1433
471344	1562		202319	88.40	1550
471337	1521		4377373	95.70	1473
471333	1535		202319	87.60	1523
471318	1543		4370240	88.90	1434
471314	1559		112239	88.00	1377
471307	1531		3843950	93.40	1514
471299	1501		4354577	95.10	1412
471288	1523		4437524	90.20	1428
471284	1520		932989	96.30	1348
471280	1550		4367474	93.40	1426
